-5.346 22
-4.346 0
-3.346 1291
-2.346 437
-1.346 178
-0.346 2016
0.654 540
1.654 685
2.654 634
3.654 559
4.654 1277
5.654 420
6.654 310
7.654 502
8.654 1052
9.654 755
10.654 598
11.654 538
12.654 323
13.654 535
14.654 1393
15.654 1149
16.654 1113
17.654 1129
18.654 1123
19.654 1230
20.654 1279
21.654 1275
22.654 1207
23.654 0
24.654 0
25.654 0
26.654 0
27.654 0
28.654 0
29.654 0
30.654 0
31.654 0
32.654 0
33.654 0
34.654 0
35.654 0
36.654 0
37.654 0
38.654 0
39.654 0
40.654 0
41.654 0
42.654 0
43.654 0
44.654 0
45.654 0
46.654 0
47.654 0
48.654 0
49.654 0
50.654 0
51.654 0
52.654 0
53.654 0
